Item Number,Description,Quantity,Link,Price
1,"2.4"" TFT SPI Screen w/ Touchscreen",1,Link ,7.95
2,PowerBoost 1000c,1,Link ,19.95
3,Raspi 4 B,1,own,0
4,Raspi Cam module 3,1,own,0
5,Mini 2-Axis Analog Thumbstick,1,link,2.5
6,Analog Mini Thumbstick Breakout Board,1,link ,1.5
7,Variety Pack Heatpress Inserts,1,link ,6.88
8,USB 3.0 Right Angle Adapter,1,link,1.49
9,Hook Up wire 22awg,1,link,15.95
10,LiPo 6000mAh battery 3.7v,1,link,16.99
11,eye screws for charms,1,link,2.06
12,Mini USB microphone,1,link,5.95
13,Mini OLED screen (display battery health),1,own,
14,Heatsink for Raspi,1,link,0.95
15,USB speaker,1,link,12.5
16,Perfboard,1,link,7.27
17,Micro USB male to female cable,1,link,5.99
18,Camera hand strap,1,link,2.75
19,Buttons,6,own,
,Cost without taxes/ shipping,,,110.68
,Cost final,,added $5 extra incase I got some of the taxes wrong,126.07
